"All transactions with DigiKey, including its affiliates, are subject to DigiKey’s Terms of Use and Conditions of Order",https://www.digikey.com/en/terms-and-conditions,,,,,,,,,,,,,,,,,,,,,,,
Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Requested Part Number,Description,Customer Reference,Quantity 1,Unit Price 1,Extended Price 1,Minimum Release 1,Minimum Order Quantity,Standard Pack,Availability,Pack Type,Manufacturer Lead Time,Country of Origin,RoHS Status,ECCN,HTSUS,Moisture Sensitivity Level (MSL),Lead Free Status,REACH Status,US Import Tariff,Pricing Valid Through,Product Notes
497-STM32H743VGT6-ND,STMicroelectronics,STM32H743VGT6,497-STM32H743VGT6-ND,IC MCU 32BIT 1MB FLASH 100LQFP, ,1,14.92,$14.92 ,1,1,0,188,Tray,15 Weeks,Philippines,ROHS3 Compliant,3A991A2,8542.31.0025,3  (168 Hours),Not available,REACH Unaffected,N/A,6/20/2025,
MAX2750EUA+TCT-ND,Analog Devices Inc./Maxim Integrated,MAX2750EUA+T,MAX2750EUA+TCT-ND,IC OSC VOLT CNTRL 8-UMAX, ,1,9.74,$9.74 ,1,1,0,1940,Cut Tape (CT),10 Weeks,Taiwan,ROHS3 Compliant,EAR99,8542.39.0060,1  (Unlimited),Not available,REACH Unaffected,N/A,6/20/2025,
2072-RFPC-SMA28-F-ND,GCT (Gradconn),RFPC-SMA28-F,2072-RFPC-SMA28-F-ND,SMA VERTICAL PCB JACK, ,7,1.73,$12.11 ,1,1,0,1488,Tray,6 Weeks,Taiwan,ROHS3 Compliant,EAR99,8536.69.4010,Not Applicable,Not available,-,N/A,6/20/2025,
ADP-SMAM-SMAM-ND,TE Connectivity Linx,ADP-SMAM-SMAM,ADP-SMAM-SMAM-ND,COAX ADAPT SMA TO SMA, ,2,5.31,$10.62 ,1,1,0,487,Bulk,7 Weeks,China,RoHS Compliant,EAR99,8536.69.4010,1  (Unlimited),Lead free,REACH Unaffected,May apply on shipments to the U.S.,6/20/2025,
4770-BD2626CT-ND,BeRex Corp,BD2626,4770-BD2626CT-ND,"2.4-2.9GHZ, 2WAY SMT DIVIDER, SO", ,1,2.13,$2.13 ,1,1,1,3690,Cut Tape (CT),26 Weeks,South Korea,ROHS3 Compliant,EAR99,8542.39.1000,1  (Unlimited),Not available,REACH Affected,N/A,6/20/2025,
863-2136-1-ND,Skyworks Solutions Inc.,SKY65900-11,863-2136-1-ND,28DBM 2GHZ PA IN 4X4 QFN, ,1,2.39,$2.39 ,1,1,1,2727,Cut Tape (CT),15 Weeks,Malaysia,Unknown,5A991G,8542.33.0001,3  (168 Hours),Not available,-,N/A,6/20/2025,
4770-BL022ACT-ND,BeRex Corp,BL022A,4770-BL022ACT-ND,IC AMP 5G 50MHZ-6GHZ SOT89-3, ,1,3.51,$3.51 ,1,1,0,2882,Cut Tape (CT),26 Weeks,South Korea,ROHS3 Compliant,EAR99,8542.33.0001,1  (Unlimited),Not available,REACH Affected,N/A,6/20/2025,
MAX2680EUT+CT-ND,Analog Devices Inc./Maxim Integrated,MAX2680EUT+T,MAX2680EUT+CT-ND,IC MXR 400MHZ-2.5GHZ DWN SOT23-6, ,1,3.03,$3.03 ,1,1,1,502,Cut Tape (CT),12 Weeks,Thailand,ROHS3 Compliant,EAR99,8542.39.0060,1  (Unlimited),Not available,REACH Unaffected,N/A,6/20/2025,
931-1586-1-ND,Taoglas Limited,DBP.2450.X.A.30,931-1586-1-ND,RF FILTER BAND PASS 2.45GHZ 2SMD, ,3,1.66,$4.98 ,1,1,0,881,Cut Tape (CT),11 Weeks,Taiwan,ROHS3 Compliant,EAR99,8504.50.8000,3  (168 Hours),Lead free,REACH Unaffected,N/A,6/20/2025,
Total,,,,,,,,$63.43 ,,,,,,,,,,,,,,,,
